Entitas,Label
ketua dpr ri,NOR
puan maharani,PER
iran,GPE
puan duka,PER
pemimpin iran,NOR
ayatollah ali khamenei pu,PER
sidang persidangan iv,EVT
kompleks parlemen senayan jakarta,LOC
iran,GPE
amerika serikat,GPE
israel,GPE
pu,NOR
pbb,NOR
dpr,NOR
presiden amerika serikat as,NOR
donald trump,PER
iran,GPE
trump washington,PER
trump,PER
cbs news,ORG
as,GPE
israel,GPE
iran,GPE
februari,DAT
trump,PER
cbs news,ORG
dora,LOC
##l,GPE
florida,GPE
iran,GPE
angkatan,NOR
laut komunikasi,ORG
angkatan udara rudal,ORG
##rud,PRD
##al,ORG
dronedrone,PRD
dro,PRD
trump,PER
ilyas fadilah,PER
detik,ORG
minyak dunia,PRD
us,MON
barel,QTY
selat hormuz,LOC
iran,GPE
amerika serikat israel,GPE
iran,GPE
kapal tanker,PRD
kapal tanker,PRD
juru bicara kementerian negeri iran,NOR
esmail baghaei,PER
detikfinance baghae,PER
iran,GPE
amerika serikat,GPE
israel,GPE
juru bicara kementerian negeri iran,NOR
esmail baghaei,PER
kapal tanker,PRD
selat hormuz,LOC
minyak mentah,PRD
barel,QTY
selat hormuz,LOC
kapal tanker,PRD
bagh,PER
cn,NOR
##bc,ORG
iran,NOR
amerika serikat,GPE
israel,GPE
bagh,PER
bagh,PER
##aei,ORG
iran,GPE
pemimpin,NOR
moj,PER
##tab,NOR
##a khamenei,PER
juru bicara kementerian negeri iran,NOR
esmail baghaei,PER
kapal tanker,PRD
selat hormuz,LOC
minyak mentah,PRD
barel,QTY
selat hormuz,LOC
kapal tanker,PRD
bagh,PER
cn,NOR
##bc,ORG
iran,NOR
amerika serikat,GPE
israel,GPE
bagh,PER
bagh,PER
##aei,ORG
iran,GPE
pemimpin,NOR
moj,PER
##tab,NOR
##a khamenei,PER
bayu baskoro,PER
detik,ORG
australia,GPE
timnas putri iran,ORG
piala asia,EVT
presiden amerika serikat as,NOR
donald trump,PER
australia,GPE
perdana menteri australia,NOR
anthony albanese,PER
timnas putri iran,ORG
trump,PER
wib,ORG
detiksp,ORG
trump trump,PER
timnas putri iran,ORG
australia,GPE
timnas putri iran,ORG
piala asia,EVT
donald trump,PER
iran,EVT
piala asia wanita australia,EVT
marziyeh jafari,PER
grup a,ORG
iran,GPE
filipina,GPE
iran,GPE
kepolisian federal australia,NOR
otoritas,ORG
fatemeh pasandideh zahra ghanbari zahra sarbali atefeh ramazanzadeh mona hamoudi,PER
perang,NOR
amerika,GPE
serikat,NOR
as,GPE
israel,GPE
iran,GPE
minyak dunia,PRD
presiden as,NOR
donald trump,PER
detik,ORG
##com as israel,NOR
iran,GPE
ayatollah ali khamene,PER
iran,GPE
iran,GPE
drone rudal,PRD
militer,NOR
as,GPE
fasilitas,NOR
as,GPE
negara,NOR
asia barat qatar irak bahrain,GPE
arab saudi,GPE
iran,GPE
israel,GPE
asi,NOR
##s,PER
##rael,NOR
iran,GPE
kapalkapal pengangkut minyak,PRD
selat hormuz,LOC
donald trump,PER
timnas putri iran,ORG
piala asia wanita,ORG
australia,GPE
iran,GPE
grup piala asia wanita,ORG
marziyeh jafari,PER
grup a,ORG
filipina,GPE
iran,GPE
filipina,GPE
piala asia wanita,EVT
skuad iran,ORG
korea,GPE
selatan,ORG
pemimpin,NOR
iran,GPE
ayatollah ali khamenei,PER
mojtaba khamene,PER
ali khamenei,PER
