Judul,Penerbit,Link,Tanggal Published
Tok! Anak Ali Khamenei Mojtaba Khamenei Jadi Pemimpin Tertinggi Iran,CNN,https://www.cnnindonesia.com/internasional/20260309044622-120-1335708/tok-anak-ali-khamenei-mojtaba-khamenei-jadi-pemimpin-tertinggi-iran,09 Maret 2026
Dewan Ulama Sudah Hampir Sepakat Pilih Pengganti Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260308175536-120-1335651/dewan-ulama-sudah-hampir-sepakat-pilih-pengganti-ali-khamenei,09 Maret 2026
Trump Konfirmasi Kematian Pemimpin Tertinggi Iran Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260301044904-134-1332937/trump-konfirmasi-kematian-pemimpin-tertinggi-iran-ali-khamenei,01 Maret 2026
Waktu Terbunuhnya Pemimpin Iran Ayatollah Ali Khamenei Terungkap,CNN,https://www.cnnindonesia.com/internasional/20260301090739-120-1332969/waktu-terbunuhnya-pemimpin-iran-ayatollah-ali-khamenei-terungkap,02 Maret 2026
Hamas Ucapkan Belasungkawa Atas Kematian Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260301174003-120-1333089/hamas-ucapkan-belasungkawa-atas-kematian-khamenei,02 Maret 2026
Netanyahu Klaim Pemimpin Tertinggi Iran Ali Khamenei Tewas,CNN,https://www.cnnindonesia.com/internasional/20260301035703-120-1332929/netanyahu-klaim-pemimpin-tertinggi-iran-ali-khamenei-tewas,01 Maret 2026
"Siapa Ali Larijani, Tangan Kanan yang Diisukan Jadi Penerus Khamenei?",CNN,https://www.cnnindonesia.com/internasional/20260302150421-120-1333432/siapa-ali-larijani-tangan-kanan-yang-diisukan-jadi-penerus-khamenei,03 Maret 2026
"Megawati Kirim Surat Duka Atas Kematian Khamenei, Kecam AS-Israel",CNN,https://www.cnnindonesia.com/nasional/20260303180218-32-1333939/megawati-kirim-surat-duka-atas-kematian-khamenei-kecam-as-israel,04 Maret 2026
Prabowo Kirim Surat Jelang Pemakaman Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260305065848-120-1334462/prabowo-kirim-surat-jelang-pemakaman-ali-khamenei,06 Maret 2026
Iran Mulai Proses Transisi Kekuasaan Usai Kematian Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260301113942-120-1333012/iran-mulai-proses-transisi-kekuasaan-usai-kematian-khamenei,02 Maret 2026
Iran Tuding Ada Upaya Pecah Belah Usai Kematian Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260301134636-120-1333046/iran-tuding-ada-upaya-pecah-belah-usai-kematian-khamenei,02 Maret 2026
"Raungan Tangis dan Perayaan, Iran Terbelah Sikapi Kematian Khamenei?",CNN,https://www.cnnindonesia.com/internasional/20260301104905-120-1333003/raungan-tangis-dan-perayaan-iran-terbelah-sikapi-kematian-khamenei,02 Maret 2026
"Garda Revolusi Iran Berduka, Bersumpah Balas Dendam Kematian Khamenei",CNN,https://www.cnnindonesia.com/internasional/20260301094313-120-1332984/garda-revolusi-iran-berduka-bersumpah-balas-dendam-kematian-khamenei,02 Maret 2026
Presiden Iran: Balas Dendam Kematian Khamenei Adalah Kewajiban dan Hak,CNN,https://www.cnnindonesia.com/internasional/20260301165228-120-1333083/presiden-iran-balas-dendam-kematian-khamenei-adalah-kewajiban-dan-hak,02 Maret 2026
"Iran Mau Balas Kematian Khamenei, Trump Ancam Serangan Lebih Dahsyat",CNN,https://www.cnnindonesia.com/internasional/20260301125649-134-1333040/iran-mau-balas-kematian-khamenei-trump-ancam-serangan-lebih-dahsyat,02 Maret 2026
9 Orang Tewas Saat Demo Kematian Khamenei di Konsulat AS di Pakistan,CNN,https://www.cnnindonesia.com/internasional/20260301213329-113-1333152/9-orang-tewas-saat-demo-kematian-khamenei-di-konsulat-as-di-pakistan,02 Maret 2026
Iran Ancam Blokir Ekspor Minyak ke Sekutu AS-Israel Selama Perang,CNN,https://www.cnnindonesia.com/ekonomi/20260310174159-85-1336495/iran-ancam-blokir-ekspor-minyak-ke-sekutu-as-israel-selama-perang,10 Maret 2026
"Warga Iran Tumpah Ruah ke Jalan, Sumpah Setia ke Mojtaba Khamenei",CNN,https://www.cnnindonesia.com/internasional/20260310152551-120-1336431/warga-iran-tumpah-ruah-ke-jalan-sumpah-setia-ke-mojtaba-khamenei,10 Maret 2026
Macron Sebut Prancis dan Sekutu Ingin Buka Paksa Selat Hormuz,CNN,https://www.cnnindonesia.com/internasional/20260310133805-120-1336353/macron-sebut-prancis-dan-sekutu-ingin-buka-paksa-selat-hormuz,10 Maret 2026
Presiden Iran Ucap Sumpah Setia ke Mojtaba Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260310133029-120-1336341/presiden-iran-ucap-sumpah-setia-ke-mojtaba-khamenei,10 Maret 2026
"Tolak Dikhianati AS 2 Kali, Iran Ogah Lanjut Negosiasi Nuklir",CNN,https://www.cnnindonesia.com/internasional/20260310155230-120-1336440/tolak-dikhianati-as-2-kali-iran-ogah-lanjut-negosiasi-nuklir,11 Maret 2026
Khamenei: Trump Bertanggung Jawab Atas Kematian Warga Iran,CNN,https://www.cnnindonesia.com/internasional/20260117210044-120-1318038/khamenei-trump-bertanggung-jawab-atas-kematian-warga-iran,11 Januari 2026
"Mojtaba Khamenei Kandidat Kuat Pengganti Ali Khamenei, Siapa Dia?",CNN,https://www.cnnindonesia.com/internasional/20260304191525-120-1334389/mojtaba-khamenei-kandidat-kuat-pengganti-ali-khamenei-siapa-dia,05 Maret 2026
"Pemakaman Ayatollah Ali Khamenei Ditunda, Ada Apa?",CNN,https://www.cnnindonesia.com/internasional/20260304192416-120-1334390/pemakaman-ayatollah-ali-khamenei-ditunda-ada-apa,05 Maret 2026
Ali Khamenei: Trump Baru Puas jika Iran Menyerah-Kalah,CNN,https://www.cnnindonesia.com/internasional/20250626193304-120-1244289/ali-khamenei-trump-baru-puas-jika-iran-menyerah-kalah,11 Juli 2025
Ali Khamenei yang Diyakini Umat Syiah Keturunan Nabi Muhammad,CNN,https://www.cnnindonesia.com/internasional/20250625203532-120-1243871/ali-khamenei-yang-diyakini-umat-syiah-keturunan-nabi-muhammad,11 Juli 2025
"Ali Khamenei Serukan Muslim Bersatu, Abaikan Pertentangan Sunni-Syiah",CNN,https://www.cnnindonesia.com/internasional/20250625162113-120-1243783/ali-khamenei-serukan-muslim-bersatu-abaikan-pertentangan-sunni-syiah,11 Juli 2025
Israel Kembali Bombardir Teheran Iran usai Pidato Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20250618200938-120-1241225/israel-kembali-bombardir-teheran-iran-usai-pidato-ali-khamenei,11 Juni 2025
"AS Serang Iran, Ini Prediksi Pakar soal Respons Ali Khamenei",CNN,https://www.cnnindonesia.com/internasional/20250622091650-120-1242393/as-serang-iran-ini-prediksi-pakar-soal-respons-ali-khamenei,11 Juni 2025
"Perang Israel vs Iran, di Mana Keberadaan Ayatollah Ali Khamenei?",CNN,https://www.cnnindonesia.com/internasional/20250616071256-120-1240052/perang-israel-vs-iran-di-mana-keberadaan-ayatollah-ali-khamenei,11 Juni 2025
Trump Klaim Selamatkan Khamenei dari Kematian Memalukan Dibunuh Israel,CNN,https://www.cnnindonesia.com/internasional/20250628052235-134-1244558/trump-klaim-selamatkan-khamenei-dari-kematian-memalukan-dibunuh-israel,11 Juli 2025
5 Fakta Misteri Kematian Aktris Pakistan Humaira Asghar Ali,CNN,https://www.cnnindonesia.com/hiburan/20250711154811-234-1249666/5-fakta-misteri-kematian-aktris-pakistan-humaira-asghar-ali,11 Juli 2025
Hampir Separuh Anggota DPR Absen di Paripurna Jelang Lebaran,CNN,https://www.cnnindonesia.com/nasional/20260310105918-32-1336251/hampir-separuh-anggota-dpr-absen-di-paripurna-jelang-lebaran,10 Maret 2026
