term,avg_tfidf,segment_type,segment_value
iran,0.11778633538958956,news,Antara
serangan,0.08883422419022313,news,Antara
israel,0.08078035556853543,news,Antara
militer,0.06468976356787144,news,Antara
khamenei,0.06465376442875122,news,Antara
baca,0.06097117249127957,news,Antara
pemimpin,0.05744346704928713,news,Antara
amerika,0.05531483005932695,news,Antara
tertinggi,0.05523290040245598,news,Antara
ali,0.053971012576818335,news,Antara
tengah,0.052728305765740814,news,Antara
tewas,0.05168005000309975,news,Antara
pemimpin tertinggi,0.051417832919031264,news,Antara
trump,0.05089825357369468,news,Antara
ali khamenei,0.050762261874867154,news,Antara
teheran,0.050666268051661696,news,Antara
serikat,0.05031810939540034,news,Antara
amerika serikat,0.05010335115238375,news,Antara
timur,0.04936179916906932,news,Antara
negara,0.048085991889809436,news,Antara
timur tengah,0.046618018122068,news,Antara
mengatakan,0.04539138919001412,news,Antara
hari,0.0451530689365766,news,Antara
minyak,0.044780196141011606,news,Antara
tertinggi iran,0.04450711769788691,news,Antara
rudal,0.04411033515030902,news,Antara
ayatol,0.044045481098508164,news,Antara
kata,0.043459292868014074,news,Antara
asisrael,0.043431408828302695,news,Antara
sabtu,0.04322236920807624,news,Antara
orang,0.04243696576121429,news,Antara
ayatol ali,0.04235429859812443,news,Antara
termasuk,0.04230960937503134,news,Antara
presiden,0.04210686422302354,news,Antara
pemerintah,0.040969097573781685,news,Antara
menyatakan,0.0398956157073759,news,Antara
operasi,0.039325916790176565,news,Antara
korban,0.0392130285280093,news,Antara
melancarkan,0.03913314936015178,news,Antara
negeri,0.038499065871271394,news,Antara
melancarkan serangan,0.03814755379673382,news,Antara
besar,0.037560174185243884,news,Antara
wilayah,0.037516298395781834,news,Antara
minggu,0.036615484177291345,news,Antara
konflik,0.03639724106797968,news,Antara
sumber,0.03628985557323136,news,Antara
warga,0.03609544810163546,news,Antara
kawasan,0.03585355387914738,news,Antara
media,0.035346018953512456,news,Antara
udara,0.035311503674471535,news,Antara
serangan,0.08364112140320869,news,CNN
israel,0.08075739626176828,news,CNN
trump,0.06553268104233895,news,CNN
tewas,0.06415499433838916,news,CNN
kematian,0.05871540559428113,news,CNN
ali khamenei,0.058404385650491775,news,CNN
amerika,0.05824786750081361,news,CNN
negara,0.05434550234586444,news,CNN
ayatol,0.05203162223022689,news,CNN
amerika serikat,0.051488268398592246,news,CNN
serikat,0.05142842810950713,news,CNN
perang,0.0495954738389872,news,CNN
tertinggi iran,0.04887678509674746,news,CNN
asisrael,0.0483780978406116,news,CNN
pernyataan,0.04777732177222559,news,CNN
tengah,0.04763570037699471,news,CNN
mengatakan,0.047479766649839425,news,CNN
presiden,0.04742244635274007,news,CNN
ayatol ali,0.047096150699665704,news,CNN
hari,0.04700172241742505,news,CNN
militer,0.04645885674539391,news,CNN
islam,0.046399343107725644,news,CNN
mojtaba,0.0461496421966755,news,CNN
kematian khamenei,0.04606577395244581,news,CNN
kata,0.045946010148563095,news,CNN
teheran,0.045109802641788814,news,CNN
khamenei tewas,0.04385804227960893,news,CNN
media,0.04354135889258517,news,CNN
pemerintah,0.042279440228440934,news,CNN
dikutip,0.04169817801017878,news,CNN
sabtu,0.0413240755146668,news,CNN
tewas serangan,0.04119473404806915,news,CNN
pejabat,0.040406639748146414,news,CNN
timur,0.04001488825376208,news,CNN
menjadi,0.04000457326717168,news,CNN
keamanan,0.03911288125148051,news,CNN
with,0.03860986476879895,news,CNN
timur tengah,0.03848948960774138,news,CNN
ada,0.03840258782633782,news,CNN
irgc,0.038361745620633526,news,CNN
saat,0.038142101904051796,news,CNN
orang,0.037628008808560896,news,CNN
iran ayatol,0.037438138859739366,news,CNN
content,0.03740865564812636,news,CNN
with content,0.03728888295091961,news,CNN
warga,0.03617246369077233,news,CNN
menteri,0.036152118820106105,news,CNN
revolusi,0.03526326725775713,news,CNN
besar,0.03503952730011546,news,CNN
resmi,0.03445698566261709,news,CNN
israel,0.0827350924816862,news,Detik
mojtaba,0.07336932857975836,news,Detik
serangan,0.07002096804243217,news,Detik
trump,0.06530242501053986,news,Detik
ayatol,0.05435838773631311,news,Detik
amerika,0.05381877380321229,news,Detik
tertinggi iran,0.05363766191415498,news,Detik
baru,0.053619745179280344,news,Detik
mojtaba khamenei,0.052087207726311334,news,Detik
negara,0.05124426184541747,news,Detik
militer,0.051040306666494305,news,Detik
teheran,0.05036906508102848,news,Detik
dilansir,0.05014002329448883,news,Detik
menjadi,0.05006873284555283,news,Detik
serikat,0.04984759834777646,news,Detik
amerika serikat,0.04984759834777646,news,Detik
perang,0.04983555116000674,news,Detik
mengatakan,0.04946435410345929,news,Detik
kata,0.04866128612194018,news,Detik
islam,0.048418584211700956,news,Detik
tewas,0.0479247478730401,news,Detik
presiden,0.04701973333964979,news,Detik
netanyahu,0.04602294473802777,news,Detik
revolusi,0.04438720521965688,news,Detik
ayatol ali,0.04349374034057888,news,Detik
rezim,0.04347570760023697,news,Detik
pernyataan,0.04337834731139512,news,Detik
hari,0.04230225513830938,news,Detik
minggu,0.04184317998405593,news,Detik
memiliki,0.04137689985841387,news,Detik
majelis,0.041347663069198896,news,Detik
menyebut,0.04095711429359515,news,Detik
orang,0.04004796957983625,news,Detik
besar,0.039520941529653034,news,Detik
tengah,0.03950447933114613,news,Detik
pakar,0.0392306326616459,news,Detik
sabtu,0.03913885419279028,news,Detik
ada,0.03811122463353005,news,Detik
majelis pakar,0.03747413240930637,news,Detik
donald,0.03685453688716772,news,Detik
donald trump,0.03682868664481937,news,Detik
ulama,0.03651223074586971,news,Detik
konflik,0.03641626702332635,news,Detik
rakyat,0.036328252218148845,news,Detik
pemerintah,0.03632214768941314,news,Detik
rudal,0.036051859901817286,news,Detik
kantor,0.03599107712026064,news,Detik
afp,0.03570106085886992,news,Detik
diketahui,0.035489562881007804,news,Detik
dunia,0.03536354976991665,news,Detik
iran,0.11565505945968085,news,Kompas
ali,0.083745167527092,news,Kompas
ali khamenei,0.0805491444793366,news,Kompas
serangan,0.07531231112649449,news,Kompas
pemimpin,0.07513883213351434,news,Kompas
israel,0.070771262201426,news,Kompas
tertinggi,0.06982068049615221,news,Kompas
pemimpin tertinggi,0.06719992369244407,news,Kompas
ayatol,0.06498074295500025,news,Kompas
baca,0.0595970416441719,news,Kompas
ayatol ali,0.05697613273505031,news,Kompas
amerika,0.05629192787486542,news,Kompas
tertinggi iran,0.056233591377573285,news,Kompas
teheran,0.05479229416506528,news,Kompas
serikat,0.04934191645261033,news,Kompas
amerika serikat,0.04909037680267763,news,Kompas
presiden,0.04906732381167444,news,Kompas
iran ayatol,0.04723108774813162,news,Kompas
islam,0.045089181403137106,news,Kompas
trump,0.0443489998791998,news,Kompas
hari,0.04408561552864476,news,Kompas
negara,0.04395614146697852,news,Kompas
kompascom,0.043322585302726334,news,Kompas
menjadi,0.04291282894410878,news,Kompas
tahun,0.04252992197680235,news,Kompas
militer,0.04234187587087121,news,Kompas
dunia,0.042039386936014445,news,Kompas
orang,0.04143578433793583,news,Kompas
foto,0.03893909261623818,news,Kompas
media,0.03876621430494168,news,Kompas
politik,0.03876301022099373,news,Kompas
pemerintah,0.03868740070842814,news,Kompas
kematian,0.038158957728439157,news,Kompas
tewas,0.03758539825070881,news,Kompas
tengah,0.037043935194531356,news,Kompas
besar,0.036880503473095495,news,Kompas
ada,0.03546436146326889,news,Kompas
sabtu,0.035378809981649606,news,Kompas
kata,0.035150477118005674,news,Kompas
revolusi,0.0346599360741537,news,Kompas
merupakan,0.03460732166791931,news,Kompas
mengatakan,0.03459180822557573,news,Kompas
meninggal,0.03227100892611455,news,Kompas
menyebut,0.03207979572895352,news,Kompas
menyatakan,0.031314842475711015,news,Kompas
timur,0.030868290650814995,news,Kompas
kediaman,0.030776921366090153,news,Kompas
ulama,0.030538835304038923,news,Kompas
perang,0.029637994398673508,news,Kompas
republik,0.029568386343969244,news,Kompas
khamenei,0.09753103042813623,news,Tribun
serangan,0.08275749560682731,news,Tribun
israel,0.07071275113240065,news,Tribun
pemimpin,0.06881868698810452,news,Tribun
ali,0.06707201415938942,news,Tribun
tertinggi,0.06451280705501371,news,Tribun
ali khamenei,0.062031748731663054,news,Tribun
tewas,0.061270079657377394,news,Tribun
pemimpin tertinggi,0.06123299171841665,news,Tribun
kematian,0.060749736637742996,news,Tribun
hari,0.058052302778239785,news,Tribun
amerika,0.05646865471446785,news,Tribun
militer,0.054084446126874255,news,Tribun
serikat,0.05325736114577473,news,Tribun
amerika serikat,0.052931515606363694,news,Tribun
teheran,0.0513454465238321,news,Tribun
trump,0.051057937719938204,news,Tribun
tertinggi iran,0.0508829851774413,news,Tribun
pemerintah,0.05044279687715357,news,Tribun
ayatol,0.050364325256021976,news,Tribun
islam,0.0470741395127872,news,Tribun
ayatol ali,0.04480517930406716,news,Tribun
kematian khamenei,0.04383044076414811,news,Tribun
tengah,0.043387782167697286,news,Tribun
presiden,0.042795493311489435,news,Tribun
besar,0.04262506038686524,news,Tribun
dilaporkan,0.042570711409822166,news,Tribun
menjadi,0.04237945798471724,news,Tribun
tewas serangan,0.04236807527182771,news,Tribun
udara,0.04233479492922263,news,Tribun
media,0.042172970658648425,news,Tribun
sabtu,0.04150153348053659,news,Tribun
serikat israel,0.04134777258458087,news,Tribun
pemerintah iran,0.04122686639307789,news,Tribun
orang,0.04118244810004106,news,Tribun
kompleks,0.04115104029156726,news,Tribun
dunia,0.0401731368203695,news,Tribun
pernyataan,0.039643562078261814,news,Tribun
nasional,0.038886886278055616,news,Tribun
minggu,0.03814055239484701,news,Tribun
revolusi,0.036420802146124906,news,Tribun
baca,0.0363976851857319,news,Tribun
negara,0.03620725091782844,news,Tribun
keamanan,0.0358764302001142,news,Tribun
politik,0.03556921466689218,news,Tribun
menyatakan,0.035253760568472126,news,Tribun
berita,0.0348514222869124,news,Tribun
tayang,0.034793804514363605,news,Tribun
artikel,0.034793804514363605,news,Tribun
artikel tayang,0.034793804514363605,news,Tribun
khamenei,0.11357559576965742,sentimen,Negative
serangan,0.09602334790578346,sentimen,Negative
israel,0.08537554813221217,sentimen,Negative
ali,0.07423892227971038,sentimen,Negative
ali khamenei,0.07203738866418191,sentimen,Negative
tewas,0.06875136746245679,sentimen,Negative
trump,0.06348088396134131,sentimen,Negative
orang,0.061109192703450735,sentimen,Negative
pemimpin,0.05688298395149678,sentimen,Negative
kematian,0.054734599681763765,sentimen,Negative
amerika,0.053116774478315455,sentimen,Negative
teheran,0.051959260545310214,sentimen,Negative
tertinggi,0.049661562498123986,sentimen,Negative
militer,0.048456368077273576,sentimen,Negative
pemimpin tertinggi,0.04817936243484633,sentimen,Negative
presiden,0.047982880818888074,sentimen,Negative
hari,0.04755697937166462,sentimen,Negative
amerika serikat,0.04645111683989852,sentimen,Negative
serikat,0.04645111683989852,sentimen,Negative
ada,0.04607671183030796,sentimen,Negative
ayatol,0.04582522550462781,sentimen,Negative
khamenei tewas,0.044830615349004094,sentimen,Negative
pemerintah,0.04456189254180178,sentimen,Negative
ayatol ali,0.04301811389270863,sentimen,Negative
media,0.04293231261850562,sentimen,Negative
kompleks,0.0428037132982618,sentimen,Negative
kematian khamenei,0.04242016439232559,sentimen,Negative
sabtu,0.04176642418547569,sentimen,Negative
tengah,0.04137618624277187,sentimen,Negative
minggu,0.0411272029913628,sentimen,Negative
asisrael,0.04092687573191752,sentimen,Negative
kata,0.04067984640262123,sentimen,Negative
kantor,0.040554327070072255,sentimen,Negative
negara,0.03981013712729474,sentimen,Negative
menjadi,0.03934216543180255,sentimen,Negative
timur,0.03922721956090835,sentimen,Negative
donald trump,0.03918431156330837,sentimen,Negative
donald,0.03918431156330837,sentimen,Negative
tewas serangan,0.038195283823087366,sentimen,Negative
pernyataan,0.037989734074130234,sentimen,Negative
tertinggi iran,0.037933045646392785,sentimen,Negative
netanyahu,0.03788182033721043,sentimen,Negative
minyak,0.03783081522194464,sentimen,Negative
baca,0.037548183844123124,sentimen,Negative
timur tengah,0.037422208948412285,sentimen,Negative
berita,0.03735207465039409,sentimen,Negative
korban,0.03707858139180115,sentimen,Negative
kota,0.03696443661935896,sentimen,Negative
islam,0.03661251885129798,sentimen,Negative
dunia,0.036513523479202725,sentimen,Negative
iran,0.11468556825032436,sentimen,Netral
khamenei,0.08921802462519267,sentimen,Netral
serangan,0.08044647322254449,sentimen,Netral
israel,0.07651633324509509,sentimen,Netral
ali,0.06572999570356801,sentimen,Netral
pemimpin,0.0608402949506697,sentimen,Netral
ali khamenei,0.060210232039023245,sentimen,Netral
tertinggi,0.05796215365514823,sentimen,Netral
trump,0.057035921334910596,sentimen,Netral
amerika,0.05698446082799733,sentimen,Netral
tewas,0.05573013523713565,sentimen,Netral
militer,0.05503546680024001,sentimen,Netral
pemimpin tertinggi,0.0537775793376915,sentimen,Netral
serikat,0.05322152353604232,sentimen,Netral
amerika serikat,0.05294103210718146,sentimen,Netral
ayatol,0.052794988198888594,sentimen,Netral
teheran,0.0521310211874459,sentimen,Netral
ayatol ali,0.048855955607718674,sentimen,Netral
kematian,0.04788639065364265,sentimen,Netral
hari,0.04688112700556012,sentimen,Netral
baca,0.04621286144536028,sentimen,Netral
negara,0.04596800419264647,sentimen,Netral
tengah,0.04508904851335776,sentimen,Netral
tertinggi iran,0.04486951028578125,sentimen,Netral
menjadi,0.04388681148285957,sentimen,Netral
presiden,0.04361585678996924,sentimen,Netral
pemerintah,0.04338049928767484,sentimen,Netral
sabtu,0.0424958586666225,sentimen,Netral
mengatakan,0.041784657752554126,sentimen,Netral
kata,0.04162448090680156,sentimen,Netral
islam,0.0407587069752109,sentimen,Netral
orang,0.04074311163655595,sentimen,Netral
perang,0.04059117094718842,sentimen,Netral
dunia,0.038867927565695674,sentimen,Netral
kantor,0.038608597612085155,sentimen,Netral
pernyataan,0.03791376691277879,sentimen,Netral
timur,0.037594261377583225,sentimen,Netral
media,0.03745371426799424,sentimen,Netral
berita,0.03729188937073168,sentimen,Netral
minggu,0.03694831894463523,sentimen,Netral
besar,0.036691265562153935,sentimen,Netral
timur tengah,0.03633346009804355,sentimen,Netral
iran ayatol,0.03615723937856094,sentimen,Netral
pejabat,0.03615494699912035,sentimen,Netral
asisrael,0.03597717044561534,sentimen,Netral
melakukan,0.035804587706262776,sentimen,Netral
tewas serangan,0.03569936849309738,sentimen,Netral
khamenei tewas,0.034961548638017634,sentimen,Netral
udara,0.03477581927752363,sentimen,Netral
dilaporkan,0.034751960417899415,sentimen,Netral
israel,0.07850334047090612,sentimen,Positive
serangan,0.07761792185001473,sentimen,Positive
ayatol,0.05842033823912649,sentimen,Positive
tertinggi iran,0.05791775320799614,sentimen,Positive
amerika,0.05630349703071035,sentimen,Positive
mojtaba,0.05585783738742515,sentimen,Positive
trump,0.053843949041424664,sentimen,Positive
menjadi,0.05156943589053311,sentimen,Positive
teheran,0.05094456998502769,sentimen,Positive
militer,0.050871893292525935,sentimen,Positive
hari,0.05040420470638747,sentimen,Positive
serikat,0.05019049765756546,sentimen,Positive
amerika serikat,0.050032346644756774,sentimen,Positive
