rank,term,avg_tfidf,doc_frequency,ngram_n
1,serangan,0.059426742703230694,417,1
2,israel,0.05741406126370138,407,1
3,trump,0.042101056103036535,216,1
4,amerika,0.041392916221954214,375,1
5,ayatol,0.04051173143093024,369,1
6,tewas,0.039522717201518044,329,1
7,tertinggi iran,0.03879245821814371,370,2
8,militer,0.038680702115505464,292,1
9,teheran,0.0381543983747478,294,1
10,pemimpin tertinggi iran,0.037830319042347155,356,3
11,serikat,0.03764390935922245,352,1
12,amerika serikat,0.03749442342355959,342,2
13,ayatol ali,0.03573054702988641,346,2
14,ayatol ali khamenei,0.0356704660195092,344,3
15,negara,0.035005654904065375,273,1
16,kematian,0.03478974607994596,234,1
17,presiden,0.03446311694960254,255,1
18,islam,0.03306976964993742,225,1
19,mojtaba,0.031786816387657235,106,1
20,pemerintah,0.0317344868734507,221,1
21,orang,0.03013655129269991,210,1
22,perang,0.029968358418434912,182,1
23,media,0.028999489996594803,213,1
24,iran ayatol,0.028062569450493336,219,2
25,dunia,0.027911095542640495,199,1
26,timur,0.027907374997050195,196,1
27,iran ayatol ali,0.027273832754603194,210,3
28,revolusi,0.027126441902552423,179,1
29,asisrael,0.026944795811431048,183,1
30,tertinggi iran ayatol,0.02638001251807506,202,3
31,khamenei tewas,0.026372841880872147,178,2
32,tewas serangan,0.025151774833599667,177,2
33,udara,0.025082179788343564,158,1
34,serikat israel,0.02433167730707218,199,2
35,rudal,0.024276238897945033,146,1
36,amerika serikat israel,0.02427475508129035,198,3
37,kematian khamenei,0.023553483195256974,132,2
38,keamanan,0.023552279454034673,156,1
39,operasi,0.02330254592662496,130,1
40,pejabat,0.02324581971982805,135,1
41,donald,0.023205049776254726,180,1
42,donald trump,0.02317211205641239,180,2
43,mojtaba khamenei,0.023109335817282667,96,2
44,rezim,0.022828620157941588,135,1
45,keras,0.02278728701702718,172,1
46,memiliki,0.022652631465422818,139,1
47,politik,0.02246158240706443,129,1
48,warga,0.022327258089119537,121,1
49,pemerintah iran,0.02213111777811555,141,2
50,wilayah,0.021956144915397904,144,1
51,republik,0.02184769472545257,145,1
52,menteri,0.021839761563652357,154,1
53,konflik,0.021557233006978305,133,1
54,rakyat,0.021531207045406946,133,1
55,kota,0.02140091195183267,123,1
56,negeri,0.021340934288750606,153,1
57,resmi,0.021188320469133545,145,1
58,kawasan,0.021151466730072142,129,1
59,republik islam,0.021041106295046616,135,2
60,nuklir,0.020953763466163948,95,1
61,gabungan,0.020679627586402963,153,1
62,nasional,0.02062238818907023,131,1
63,salah,0.020185456627561316,144,1
64,ulama,0.020183375847812993,92,1
65,ali khamenei tewas,0.020140953114770477,136,3
66,irgc,0.019894148178591992,115,1
67,kompleks,0.01977993881218658,95,1
68,serangan israel,0.019731985308491802,118,2
69,balasan,0.019726676348674557,113,1
70,garda,0.019713294728804953,133,1
71,mengambil,0.019422968973690013,146,1
72,netanyahu,0.019387106456664954,71,1
73,korban,0.01931873955092684,117,1
74,meninggal,0.019083311518174655,97,1
75,kepemimpinan,0.01903833009077996,98,1
76,garda revolusi,0.018962799099681103,130,2
77,februari,0.018826471361444937,123,1
78,dewan,0.018618054088890435,95,1
79,majelis,0.018488282646622112,78,1
80,kediaman,0.018482394949418283,76,1
81,melancarkan,0.018479863817335938,123,1
82,serangan udara,0.018374130317881834,106,2
83,khamenei tewas serangan,0.018026223966264646,113,3
84,menyerang,0.017964808502260603,93,1
85,menewaskan,0.017872007369904297,116,1
86,islam iran,0.017853099050480343,118,2
87,revolusi islam,0.017799034858432528,107,2
88,akibat,0.017658138146044437,112,1
89,pertahanan,0.017543907022647492,100,1
90,iran ali,0.017473049240288977,116,2
91,situs,0.017203063289984714,119,1
92,terkait,0.01691183569925698,104,1
93,minyak,0.016897608225961678,53,1
94,konten,0.016873812587601688,107,1
95,mengumumkan,0.016853904147996313,108,1
96,berkabung,0.016774205577185022,88,1
97,melaporkan,0.016681262759020012,102,1
98,anggota,0.016651209708916447,93,1
99,pemerintahan,0.016631146839977663,97,1
100,melancarkan serangan,0.016534919866527446,105,2
101,kekuatan,0.01650113662935794,90,1
102,rakyat iran,0.016454369531185137,87,2
103,khamenei pemimpin,0.0163539281370621,83,2
104,komentar,0.016340693506262122,117,1
105,pagi,0.016291994911020007,84,1
106,pasukan,0.016191529982495918,94,1
107,memicu,0.01609695759307297,97,1
108,target,0.016058908616722902,106,1
109,tertulis,0.01604026436344009,107,1
110,serangan gabungan,0.01603867558832038,107,2
111,sosial,0.01601156813089894,100,1
112,arab,0.01597716067864242,70,1
113,nama,0.015937160263595988,81,1
114,ancaman,0.01583567748293226,79,1
115,izin,0.015822943534976566,108,1
116,senjata,0.015795198641179557,73,1
117,presiden donald,0.015722344585591408,110,2
118,kekuasaan,0.0156900537394881,90,1
119,presiden donald trump,0.0156522708291318,110,3
120,senior,0.015571597387194566,91,1
121,ayah,0.015558165790174532,72,1
122,serangan asisrael,0.015542055806318865,91,2
123,iran ali khamenei,0.015530805124615502,97,3
124,israel iran,0.015421078975453605,92,2
125,internasional,0.015402121195802051,88,1
126,putra,0.015359681967879733,85,1
127,fasilitas,0.015344311352312557,92,1
128,dilarang,0.015343696762870692,108,1
129,kirim,0.01522816467307246,106,1
130,otomatis,0.015184314054793199,104,1
131,negaranegara,0.015176178742100614,88,1
132,foto,0.014996366932420688,48,1
