term,avg_tfidf,pos_tag,pos_label
serangan,0.10315809413907229,NOUN,Kata Benda
israel,0.09179970784727517,NOUN,Kata Benda
pemimpin,0.08987885793742525,NOUN,Kata Benda
ali,0.08451794172590195,NOUN,Kata Benda
ayatol,0.07067521156396582,NOUN,Kata Benda
teheran,0.06489135336648283,NOUN,Kata Benda
negara,0.06063385805769372,NOUN,Kata Benda
kematian,0.06055978778964995,NOUN,Kata Benda
presiden,0.06018652457439583,NOUN,Kata Benda
trump,0.05651434942873628,NOUN,Kata Benda
pemerintah,0.05554388435859523,NOUN,Kata Benda
islam,0.0537251091930793,NOUN,Kata Benda
orang,0.05204156711883372,NOUN,Kata Benda
mojtaba,0.05172589206052493,NOUN,Kata Benda
perang,0.05155785526530884,NOUN,Kata Benda
media,0.05041637959035881,NOUN,Kata Benda
timur,0.04909635285244888,NOUN,Kata Benda
dunia,0.04833406351037013,NOUN,Kata Benda
asisrael,0.047677697611261984,NOUN,Kata Benda
revolusi,0.04597068271795783,NOUN,Kata Benda
udara,0.04306790667156283,NOUN,Kata Benda
rudal,0.042205064180701427,NOUN,Kata Benda
operasi,0.0403764186631542,NOUN,Kata Benda
keamanan,0.03997382365753379,NOUN,Kata Benda
wilayah,0.03938670899802075,NOUN,Kata Benda
pejabat,0.039055734127972,NOUN,Kata Benda
serikat,0.03847288066454319,NOUN,Kata Benda
menteri,0.03842852107089305,NOUN,Kata Benda
rezim,0.03842187983914441,NOUN,Kata Benda
warga,0.03813483997611133,NOUN,Kata Benda
konflik,0.03767287017240419,NOUN,Kata Benda
negeri,0.03737580579336921,NOUN,Kata Benda
rakyat,0.03713818055970986,NOUN,Kata Benda
kawasan,0.036832534461180955,NOUN,Kata Benda
republik,0.03680815033781866,NOUN,Kata Benda
politik,0.036787899913832724,NOUN,Kata Benda
gabungan,0.03651844629657407,NOUN,Kata Benda
kota,0.03621609699223333,NOUN,Kata Benda
nuklir,0.036208029996795406,NOUN,Kata Benda
korban,0.03524657257715598,NOUN,Kata Benda
balasan,0.034634532128964786,NOUN,Kata Benda
garda,0.03362859807785093,NOUN,Kata Benda
kompleks,0.03357327959707528,NOUN,Kata Benda
ulama,0.033213218582456905,NOUN,Kata Benda
netanyahu,0.033129477986951233,NOUN,Kata Benda
