rank,term,avg_tfidf,doc_frequency,ngram_n
1,serangan,0.05706505434793811,417,1
2,israel,0.0554277258792279,406,1
3,pemimpin tertinggi,0.043781850890153975,440,2
4,trump,0.040285842607021144,215,1
5,amerika,0.03985563032032625,375,1
6,ayatol,0.039020676305250655,368,1
7,tewas,0.03825158886629266,329,1
8,militer,0.03714995405856687,292,1
9,tertinggi iran,0.03671868375334305,359,2
10,teheran,0.036442784676050874,294,1
11,serikat,0.03610847691377828,352,1
12,amerika serikat,0.03595755352504635,342,2
13,pemimpin tertinggi iran,0.035708223888085304,344,3
14,hari,0.03444056961200365,245,1
15,ayatol ali,0.03442018490424613,345,2
16,ayatol ali khamenei,0.034300885393842635,340,3
17,menjadi,0.03368410275384584,297,1
18,negara,0.033662335147273056,273,1
19,kematian,0.033580896707153855,234,1
20,presiden,0.033119366400327144,255,1
21,tengah,0.03209882104279286,252,1
22,islam,0.032043268591636344,225,1
23,baca,0.03152759379897236,197,1
24,pemerintah,0.030656893524903823,221,1
25,mojtaba,0.030580477673659685,106,1
26,kata,0.030020227719919346,239,1
27,mengatakan,0.029855220214811063,203,1
28,orang,0.02890087771310276,209,1
29,perang,0.028681894392104088,182,1
30,sabtu,0.028496654989548204,224,1
31,media,0.028108738824330636,213,1
32,pernyataan,0.027925998783647148,192,1
33,besar,0.0274197051034903,206,1
34,kantor,0.027385258247304145,225,1
35,dunia,0.026995632908063536,199,1
36,iran ayatol,0.026752695969728922,215,2
37,timur,0.02667433715841669,195,1
38,revolusi,0.02625097893316861,180,1
39,iran ayatol ali,0.026197494180352682,209,3
40,ada,0.02619006516863404,173,1
41,asisrael,0.025893750502453766,183,1
42,berita,0.02561274115712818,212,1
43,baru,0.025485507428142956,150,1
44,timur tengah,0.02540847515364419,177,2
45,tertinggi iran ayatol,0.02526038347086472,197,3
46,minggu,0.024985998987621678,189,1
47,tewas serangan,0.02463594934943382,185,2
48,melakukan,0.024219736140143912,185,1
49,udara,0.02402997239440805,158,1
50,serikat israel,0.023460334016932496,198,2
51,amerika serikat israel,0.023408120910665832,197,3
52,rudal,0.02331097820374732,146,1
53,khamenei tewas,0.023277411802407718,155,2
54,menyatakan,0.02323166118518174,166,1
55,menyebut,0.023127892536423052,166,1
56,kantor berita,0.023070868214217142,186,2
57,merupakan,0.022971406895785616,164,1
58,keamanan,0.022863015089092057,156,1
59,dilaporkan,0.02271048306624559,157,1
60,kematian khamenei,0.02258492918672947,132,2
61,termasuk,0.022524720558315673,188,1
62,donald,0.02228137066397082,180,1
63,donald trump,0.022262208477358412,179,2
64,mojtaba khamenei,0.022203840147181037,96,2
65,pejabat,0.02219582074200473,135,1
66,operasi,0.022074555833267437,130,1
67,rezim,0.021820217403128186,134,1
68,memiliki,0.021699234297724256,139,1
69,politik,0.021642138458329466,129,1
70,tahun,0.021574362611130778,130,1
71,keras,0.021557882416398416,172,1
72,warga,0.021376804069236394,121,1
73,wilayah,0.02126002449901792,143,1
74,pemerintah iran,0.021177678967417318,138,2
75,republik,0.02110540473526944,145,1
76,menteri,0.021101839265477113,154,1
77,konflik,0.02082269688471551,133,1
78,rakyat,0.020674240552092372,134,1
79,kota,0.02056820038978924,123,1
80,negeri,0.020496375149546324,153,1
81,resmi,0.02040731353759408,145,1
82,terjadi,0.020376527556675798,139,1
83,republik islam,0.020357511707667,135,2
84,kawasan,0.02029610450210358,129,1
85,gabungan,0.02013165835367339,153,1
86,dikutip,0.020120494565083014,141,1
87,nuklir,0.02010488095346448,95,1
88,saat,0.01990055921922063,131,1
89,nasional,0.019861469065019816,131,1
90,salah,0.01966488472705255,144,1
91,ulama,0.019545159941626773,92,1
92,irgc,0.019510507558158693,113,1
93,laporan,0.01939086886276152,135,1
94,dilansir,0.01927236394441816,111,1
95,kompleks,0.019226579216017906,95,1
96,garda,0.01903165378827712,133,1
97,balasan,0.018891769378553972,113,1
98,korban,0.01877912346734665,117,1
99,mengambil,0.018585509559933384,146,1
100,netanyahu,0.018562624653785637,72,1
101,meninggal,0.018431525526140226,97,1
102,kepemimpinan,0.018383977043051516,98,1
103,serangan israel,0.018336244882680004,112,2
104,garda revolusi,0.018313576731016464,130,2
105,menegaskan,0.01821372565566988,111,1
106,waktu,0.018194161139872298,115,1
107,masa,0.018180859042897117,115,1
108,disebut,0.018145440704800463,108,1
109,februari,0.018138950663774477,123,1
110,dewan,0.018072534724759465,95,1
111,kediaman,0.018056822252043005,76,1
112,majelis,0.01789850841529072,78,1
113,melancarkan,0.017708907243690404,123,1
114,serangan udara,0.01760946479781734,106,2
115,menewaskan,0.01747927161629656,116,1
116,lain,0.01747428502468915,117,1
117,pihak,0.01726931176220068,111,1
118,menyerang,0.017194502368007847,93,1
119,revolusi islam,0.017150275145857635,108,2
120,ali khamenei tewas,0.017106234129693053,114,3
121,pertahanan,0.01702943289935444,100,1
122,islam iran,0.017028026532780946,118,2
123,hal,0.016717364629833125,100,1
124,senin,0.016716779136608635,105,1
125,lalu,0.016629121564996106,112,1
126,minyak,0.01656217030619452,53,1
127,situs,0.016394905867044486,119,1
128,mengumumkan,0.0163698976875581,108,1
129,with,0.01631940602445397,118,1
130,terkait,0.016159240289476847,104,1
131,menunjukkan,0.01615800390216746,102,1
132,melaporkan,0.016137560451660635,102,1
133,anggota,0.016111609173063726,93,1
134,berkabung,0.016072464830855875,87,1
135,iran ali,0.01606030741973253,106,2
136,dilakukan,0.016046770776078724,95,1
137,ujar,0.01602481571884411,103,1
138,konten,0.016021225969843133,107,1
139,kompascom,0.015954635545398943,77,1
140,kekuatan,0.015947050033403704,90,1
141,pemerintahan,0.015889716486633596,97,1
142,melancarkan serangan,0.015851647836680346,105,2
143,khamenei tewas serangan,0.015803473912662357,98,3
144,tinggi,0.015767683858158656,94,1
145,rakyat iran,0.015765674567334863,87,2
146,bawah,0.01576423110677528,95,1
147,lainnya,0.015692314465859666,95,1
148,sebelumnya,0.0156705077725129,99,1
149,serangan gabungan,0.01564249855190654,107,2
